start,end,text
0.0,3.0,あ!あー!
11.0,13.0,あー、聞こえますか?
14.0,17.0,あー、聞こえますか?
18.0,23.0,なにこれ、全然俺の知らないニコ生になってるんだけどこの仕様
24.0,27.0,ちょっと待ってな
27.0,57.0,ええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええええ�
57.66,58.9,どうも、こんにちわ
59.5,61.5,えー、うんこちゃんと申しまーす
62.14,63.2,名前だけでもね
63.2,65.86,えー、覚えて帰っていただければなと思います
65.86,67.66,え、いつか終わったこのなんか
68.94,70.46000000000001,すげーなんかかっこよくなってんだけど
70.46000000000001,72.3,厚紙みたいになってんだけど、下の方が
72.9,74.4,本番中みたいな感じで
75.1,77.2,あ、こんなかっこよくなったんだニコ生
77.66,78.8,めっちゃかっこよくなってるよ
78.8,79.7,ちょ、みんなあのー
80.36,82.2,あの、放送しないから分かんないだろうけどさ
82.2,83.5,下の部分になんかね
83.8,84.8,今までのなんか
85.8,87.39999999999999,べっこり入ってるっていうか
88.2,89.89999999999999,どうも、うんこちゃんと申しまーす
89.89999999999999,90.8,名前だけでもね
90.8,92.0,あ、銀座バージョンね
92.0,93.6,覚えて帰っていただければなと
94.2,94.8,思います
94.8,95.8,お前中年だから
95.8,96.6,あ、ちょ待ってね
99.7,101.19999999999999,映ってねーだろがー!
102.8,103.6,これ出たろ?
107.3,108.2,見えたじゃろ?
111.3,113.1,はい、どうも、うんこちゃんと申します
113.1,114.3,名前だけでもね
115.6,118.39999999999999,覚えて帰っていただければなと思います
118.39999999999999,120.3,よろしくお願いしまーす
120.3,122.2,すいませんね、なんかちょっとね、いろいろ
122.39999999999999,124.5,諸々のね、都合がありまして
125.7,127.1,まあね、やってなかったんですけど
127.7,129.2,今日からね、ぼちぼちまた
129.2,130.2,やっていこうかなと
130.6,131.4,思ってるんでね
132.0,133.1,コメディアップですよ
133.6,135.7,そういうなんか難しいのはいいんじゃねーかよ
136.4,138.0,今日はなんかちょっと歩み寄ってよ
138.2,139.1,そういうなんか
139.5,141.9,ね、いろはらみたいなのはもう抜きにしてさ
141.9,143.3,あの、みんなで語り合うと
143.60000000000002,144.8,いや、そういう場をね
144.8,146.8,えー、久しく儲けてな、いなかったので
147.10000000000002,148.3,儲けさせていただきました
148.5,149.70000000000002,ちょっとお茶持ってきますね
159.10000000000002,159.60000000000002,よいしょ
160.20000000000002,161.10000000000002,ちょ、俺わかんねーんだよ
161.10000000000002,163.10000000000002,このなんか、あのバージョンみたいなのがわかんねーから
163.10000000000002,164.20000000000002,あのー、手動で
164.20000000000002,165.10000000000002,あのー、教えて
165.10000000000002,166.4,立ち見えの人に会いに行くよ
166.9,168.10000000000002,あ、こんにちはこんにちは
